"Scientific_Name_BD","Common_Name_BD","Scientific_Name_ALA","Common_Name_ALA","Match_Type"
"Sphecotheres vieilloti","Australasian Figbird","Sphecotheres vieilloti","Australasian Figbird","Exact - Scientific Name"
"Gymnorhina tibicen","Australian Magpie","Gymnorhina tibicen","Australian Magpie","Exact - Scientific Name"
"Cracticus nigrogularis","Pied Butcherbird","Cracticus nigrogularis","Pied Butcherbird","Exact - Scientific Name"
"Cracticus torquatus","Grey Butcherbird","Cracticus torquatus","Grey Butcherbird","Exact - Scientific Name"
"Dicrurus bracteatus","Spangled Drongo","Dicrurus bracteatus","Spangled Drongo","Exact - Scientific Name"
"Corvus mellori","Little Raven","Corvus mellori","Little Raven","Exact - Scientific Name"
"Corvus coronoides","Australian Raven","Corvus coronoides","Australian Raven","Exact - Scientific Name"
"Grallina cyanoleuca","Magpie-lark","Grallina cyanoleuca","Magpie-lark","Exact - Scientific Name"
"Symposiachrus trivirgatus","Spectacled Monarch","Symposiachrus trivirgatus","Spectacled Monarch","Exact - Scientific Name"
"Corcorax melanorhamphos","White-winged Chough","Corcorax melanorhamphos","White-winged Chough","Exact - Scientific Name"
"Tregellasia capito","Pale-yellow Robin","Tregellasia capito","Pale-yellow Robin","Exact - Scientific Name"
"Chloris chloris","Common Greenfinch","Chloris chloris","European Greenfinch","Exact - Scientific Name"
"Carduelis carduelis","European Goldfinch","Carduelis carduelis","European Goldfinch","Exact - Scientific Name"
"Alauda arvensis","Eurasian Skylark","Alauda arvensis","Eurasian Skylark","Exact - Scientific Name"
"Poodytes gramineus","Little Grassbird","Poodytes gramineus","Little Grassbird","Exact - Scientific Name"
"Cheramoeca leucosterna","White-backed Swallow","Cheramoeca leucosterna","White-backed Swallow","Exact - Scientific Name"
"Zosterops lateralis","Silvereye","Zosterops lateralis","Silvereye","Exact - Scientific Name"
"Acridotheres tristis","Common Myna","Acridotheres tristis","Common Myna","Exact - Scientific Name"
"Turdus merula","Common Blackbird","Turdus merula","Eurasian Blackbird","Exact - Scientific Name"
"Pezoporus wallicus","Ground Parrot","Pezoporus wallicus","Eastern Ground Parrot","Exact - Scientific Name"
"Orthonyx temminckii","Australian Logrunner","Orthonyx temminckii","Australian Logrunner","Exact - Scientific Name"
"Cereopsis novaehollandiae","Cape Barren Goose","Cereopsis novaehollandiae","Cape Barren Goose","Exact - Scientific Name"
"Haematopus longirostris","Australian Pied Oystercatcher","Haematopus longirostris","Australian Pied Oystercatcher","Exact - Scientific Name"
"Haematopus fuliginosus","Sooty Oystercatcher","Haematopus fuliginosus","Sooty Oystercatcher","Exact - Scientific Name"
"Pluvialis squatarola","Grey Plover","Pluvialis squatarola","Grey Plover","Exact - Scientific Name"
"Pluvialis fulva","Pacific Golden Plover","Pluvialis fulva","Pacific Golden Plover","Exact - Scientific Name"
"Thinornis cucullatus","Hooded Plover","Thinornis cucullatus","Hooded Plover","Exact - Scientific Name"
"Limosa lapponica","Bar-tailed Godwit","Limosa lapponica","Bar-tailed Godwit","Exact - Scientific Name"
"Limosa limosa","Black-tailed Godwit","Limosa limosa","Black-tailed Godwit","Exact - Scientific Name"
"Arenaria interpres","Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone","Exact - Scientific Name"
"Actitis hypoleucos","Common Sandpiper","Actitis hypoleucos","Common Sandpiper","Exact - Scientific Name"
"Anous minutus","Black Noddy","Anous minutus","Black Noddy","Exact - Scientific Name"
"Onychoprion fuscatus","Sooty Tern","Onychoprion fuscatus","Sooty Tern","Exact - Scientific Name"
"Sternula albifrons","Little Tern","Sternula albifrons","Little Tern","Exact - Scientific Name"
"Sternula nereis","Fairy Tern","Sternula nereis","Fairy Tern","Exact - Scientific Name"
"Hydroprogne caspia","Caspian Tern","Hydroprogne caspia","Caspian Tern","Exact - Scientific Name"
"Diomedea antipodensis","Antipodean Albatross","Diomedea antipodensis","Antipodean Albatross","Exact - Scientific Name"
"Phoebetria palpebrata","Light-mantled Sooty Albatross","Phoebetria palpebrata","Light-mantled Sooty Albatross","Exact - Scientific Name"
"Fulmarus glacialoides","Southern Fulmar","Fulmarus glacialoides","Southern Fulmar","Exact - Scientific Name"
"Pachyptila vittata","Broad-billed Prion","Pachyptila vittata","Broad-billed Prion","Exact - Scientific Name"
"Pachyptila salvini","Salvin's Prion","Pachyptila salvini","Salvin's Prion","Exact - Scientific Name"
"Pachyptila desolata","Antarctic Prion","Pachyptila desolata","Antarctic Prion","Exact - Scientific Name"
"Pachyptila belcheri","Slender-billed Prion","Pachyptila belcheri","Slender-billed Prion","Exact - Scientific Name"
"Pelecanoides urinatrix","Common Diving-Petrel","Pelecanoides urinatrix","Common Diving-petrel","Exact - Scientific Name"
"Botaurus poiciloptilus","Australasian Bittern","Botaurus poiciloptilus","Australasian Bittern","Exact - Scientific Name"
"Butorides striata","Striated Heron","Butorides striata","Striated Heron","Exact - Scientific Name"
