"Scientific_Name_BD","Common_Name_BD","Scientific_Name_ALA","Common_Name_ALA","Match_Type"
"Climacteris picumnus","Brown Treecreeper","Climacteris (Climacteris) picumnus","Brown Treecreeper","Exact - Common Name"
"Malurus lamberti","Variegated Fairy-wren","Malurus (Leggeornis) lamberti","Variegated Fairy-wren","Exact - Common Name"
"Malurus cyaneus","Superb Fairy-wren","Malurus (Malurus) cyaneus","Superb Fairy-wren","Exact - Common Name"
"Sugomel nigrum","Black Honeyeater","Sugomel niger","Black Honeyeater","Exact - Common Name"
"Myzomela sanguinolenta","Scarlet Honeyeater","Myzomela (Myzomela) sanguinolenta","Scarlet Honeyeater","Exact - Common Name"
"Philemon corniculatus","Noisy Friarbird","Philemon (Tropidorhynchus) corniculatus","Noisy Friarbird","Exact - Common Name"
"Philemon citreogularis","Little Friarbird","Philemon (Microphilemon) citreogularis","Little Friarbird","Exact - Common Name"
"Lichmera indistincta","Brown Honeyeater","Lichmera (Lichmera) indistincta","Brown Honeyeater","Exact - Common Name"
"Phylidonyris pyrrhopterus","Crescent Honeyeater","Phylidonyris (Phylidonyris) pyrrhopterus","Crescent Honeyeater","Exact - Common Name"
"Phylidonyris novaehollandiae","New Holland Honeyeater","Phylidonyris (Meliornis) novaehollandiae","New Holland Honeyeater","Exact - Common Name"
"Phylidonyris niger","White-cheeked Honeyeater","Phylidonyris (Meliornis) niger","White-cheeked Honeyeater","Exact - Common Name"
"Melithreptus gularis","Black-chinned Honeyeater","Melithreptus (Eidopsarus) gularis","Black-chinned Honeyeater","Exact - Common Name"
"Melithreptus brevirostris","Brown-headed Honeyeater","Melithreptus (Eidopsarus) brevirostris","Brown-headed Honeyeater","Exact - Common Name"
"Melithreptus lunatus","White-naped Honeyeater","Melithreptus (Melithreptus) lunatus","White-naped Honeyeater","Exact - Common Name"
"Epthianura tricolor","Crimson Chat","Epthianura (Parepthianura) tricolor","Crimson Chat","Exact - Common Name"
"Meliphaga lewinii","Lewin's Honeyeater","Meliphaga (Meliphaga) lewinii","Lewin's Honeyeater","Exact - Common Name"
"Anthochaera chrysoptera","Little Wattlebird","Anthochaera (Anellobia) chrysoptera","Little Wattlebird","Exact - Common Name"
"Anthochaera phrygia","Regent Honeyeater","Anthochaera (Xanthomyza) phrygia","Regent Honeyeater","Exact - Common Name"
"Anthochaera carunculata","Red Wattlebird","Anthochaera (Anthochaera) carunculata","Red Wattlebird","Exact - Common Name"
"Manorina melanophrys","Bell Miner","Manorina (Manorina) melanophrys","Bell Miner","Exact - Common Name"
"Manorina melanocephala","Noisy Miner","Manorina (Myzantha) melanocephala","Noisy Miner","Exact - Common Name"
"Pardalotus punctatus","Spotted Pardalote","Pardalotus (Pardalotus) punctatus","Spotted Pardalote","Exact - Common Name"
"Pardalotus striatus","Striated Pardalote","Pardalotus (Pardalotinus) striatus","Striated Pardalote","Exact - Common Name"
"Calamanthus pyrrhopygius","Chestnut-rumped Heathwren","Hylacola pyrrhopygia","Chestnut-rumped Heathwren","Exact - Common Name"
"Sericornis citreogularis","Yellow-throated Scrubwren","Neosericornis citreogularis","Yellow-throated Scrubwren","Exact - Common Name"
"Sericornis citreogularis","Yellow-throated Scrubwren","Neosericornis citreogularis citreogularis","Yellow-throated Scrubwren","Exact - Common Name"
"Sericornis frontalis","White-browed Scrubwren","Sericornis (Sericornis) frontalis","White-browed Scrubwren","Exact - Common Name"
"Sericornis magnirostra","Large-billed Scrubwren","Sericornis (Arfakornis) magnirostra","Large-billed Scrubwren","Exact - Common Name"
"Acanthiza chrysorrhoa","Yellow-rumped Thornbill","Acanthiza (Geobasileus) chrysorrhoa","Yellow-rumped Thornbill","Exact - Common Name"
"Acanthiza nana","Yellow Thornbill","Acanthiza (Subacanthiza) nana","Yellow Thornbill","Exact - Common Name"
"Acanthiza lineata","Striated Thornbill","Acanthiza (Subacanthiza) lineata","Striated Thornbill","Exact - Common Name"
"Acanthiza pusilla","Brown Thornbill","Acanthiza (Acanthiza) pusilla","Brown Thornbill","Exact - Common Name"
"Acanthiza reguloides","Buff-rumped Thornbill","Acanthiza (Geobasileus) reguloides","Buff-rumped Thornbill","Exact - Common Name"
"Pomatostomus temporalis","Grey-crowned Babbler","Pomatostomus (Pomatostomus) temporalis","Grey-crowned Babbler","Exact - Common Name"
"Pomatostomus superciliosus","White-browed Babbler","Pomatostomus (Morganornis) superciliosus","White-browed Babbler","Exact - Common Name"
"Daphoenositta chrysoptera","Varied Sittella","Daphoenositta (Neositta) chrysoptera","Varied Sittella","Exact - Common Name"
"Coracina novaehollandiae","Black-faced Cuckoo-shrike","Coracina (Coracina) novaehollandiae","Black-faced Cuckoo-shrike","Exact - Common Name"
"Coracina papuensis","White-bellied Cuckoo-shrike","Coracina (Coracina) papuensis","White-bellied Cuckoo-shrike","Exact - Common Name"
"Lalage tricolor","White-winged Triller","Lalage (Lalage) tricolor","White-winged Triller","Exact - Common Name"
"Cinclosoma punctatum","Spotted Quail-thrush","Cinclosoma (Cinclosoma) punctatum","Spotted Quail-thrush","Exact - Common Name"
"Pachycephala inornata","Gilbert's Whistler","Pachycephala (Timixos) inornata","Gilbert's Whistler","Exact - Common Name"
"Pachycephala rufiventris","Rufous Whistler","Pachycephala (Alisterornis) rufiventris","Rufous Whistler","Exact - Common Name"
"Pachycephala pectoralis","Golden Whistler","Pachycephala (Pachycephala) pectoralis","Golden Whistler","Exact - Common Name"
"Colluricincla harmonica","Grey Shrike-thrush","Colluricincla (Colluricincla) harmonica","Grey Shrike-thrush","Exact - Common Name"
"Psophodes olivaceus","Eastern Whipbird","Psophodes (Psophodes) olivaceus","Eastern Whipbird","Exact - Common Name"
"Oriolus sagittatus","Olive-backed Oriole","Oriolus (Mimeta) sagittatus","Olive-backed Oriole","Exact - Common Name"
"Strepera graculina","Pied Currawong","Strepera (Strepera) graculina","Pied Currawong","Exact - Common Name"
"Strepera versicolor","Grey Currawong","Strepera (Neostrepera) versicolor","Grey Currawong","Exact - Common Name"
"Artamus personatus","Masked Woodswallow","Artamus (Campbellornis) personatus","Masked Woodswallow","Exact - Common Name"
"Artamus superciliosus","White-browed Woodswallow","Artamus (Campbellornis) superciliosus","White-browed Woodswallow","Exact - Common Name"
"Artamus cyanopterus","Dusky Woodswallow","Artamus (Angroyan) cyanopterus","Dusky Woodswallow","Exact - Common Name"
"Artamus cinereus","Black-faced Woodswallow","Artamus (Angroyan) cinereus","Black-faced Woodswallow","Exact - Common Name"
"Artamus leucorynchus","White-breasted Woodswallow","Artamus (Artamus) leucorynchus","White-breasted Woodswallow","Exact - Common Name"
"Rhipidura leucophrys","Willie Wagtail","Rhipidura (Sauloprocta) leucophrys","Willie Wagtail","Exact - Common Name"
"Rhipidura rufifrons","Rufous Fantail","Rhipidura (Howeavis) rufifrons","Rufous Fantail","Exact - Common Name"
"Rhipidura albiscapa","Grey Fantail","Rhipidura (Rhipidura) albiscapa","Grey Fantail","Exact - Common Name"
"Myiagra rubecula","Leaden Flycatcher","Myiagra (Myiagra) rubecula","Leaden Flycatcher","Exact - Common Name"
"Myiagra cyanoleuca","Satin Flycatcher","Myiagra (Myiagra) cyanoleuca","Satin Flycatcher","Exact - Common Name"
"Myiagra inquieta","Restless Flycatcher","Myiagra (Seisura) inquieta","Restless Flycatcher","Exact - Common Name"
"Monarcha melanopsis","Black-faced Monarch","Monarcha (Monarcha) melanopsis","Black-faced Monarch","Exact - Common Name"
"Petroica rosea","Rose Robin","Petroica (Erythrodryas) rosea","Rose Robin","Exact - Common Name"
"Petroica phoenicea","Flame Robin","Petroica (Littlera) phoenicea","Flame Robin","Exact - Common Name"
"Petroica boodang","Scarlet Robin","Petroica (Petroica) boodang","Scarlet Robin","Exact - Common Name"
"Petroica goodenovii","Red-capped Robin","Petroica (Petroica) goodenovii","Red-capped Robin","Exact - Common Name"
"Microeca fascinans","Jacky Winter","Microeca (Microeca) fascinans","Jacky Winter","Exact - Common Name"
"Eopsaltria australis","Eastern Yellow Robin","Eopsaltria (Eopsaltria) australis","Eastern Yellow Robin","Exact - Common Name"
"Melanodryas cucullata","Hooded Robin","Melanodryas (Melanodryas) cucullata","Hooded Robin","Exact - Common Name"
"Dicaeum hirundinaceum","Mistletoebird","Dicaeum (Dicaeum) hirundinaceum","Mistletoebird","Exact - Common Name"
"Stagonopleura bella","Beautiful Firetail","Stagonopleura (Zonaeginthus) bella","Beautiful Firetail","Exact - Common Name"
"Stagonopleura guttata","Diamond Firetail","Stagonopleura (Stagonopleura) guttata","Diamond Firetail","Exact - Common Name"
"Neochmia temporalis","Red-browed Finch","Neochmia (Aegintha) temporalis","Red-browed Finch","Exact - Common Name"
"Neochmia modesta","Plum-headed Finch","Aidemosyne modesta","Plum-headed Finch","Exact - Common Name"
"Taeniopygia castanotis","Zebra Finch","Taeniopygia guttata","Zebra Finch","Exact - Common Name"
"Taeniopygia bichenovii","Double-barred Finch","Stizoptera bichenovii","Double-barred Finch","Exact - Common Name"
"Passer domesticus","House Sparrow","Passer (Passer) domesticus","House Sparrow","Exact - Common Name"
"Mirafra javanica","Horsfield's Bushlark","Mirafra (Mirafra) javanica","Horsfield's Bushlark","Exact - Common Name"
"Cisticola exilis","Golden-headed Cisticola","Cisticola (Cisticola) exilis","Golden-headed Cisticola","Exact - Common Name"
"Cincloramphus cruralis","Brown Songlark","Cincloramphus (Cincloramphus) cruralis","Brown Songlark","Exact - Common Name"
"Cincloramphus mathewsi","Rufous Songlark","Cincloramphus (Maclennania) mathewsi","Rufous Songlark","Exact - Common Name"
"Petrochelidon ariel","Fairy Martin","Petrochelidon (Petrochelidon) ariel","Fairy Martin","Exact - Common Name"
"Petrochelidon nigricans","Tree Martin","Petrochelidon (Hylochelidon) nigricans","Tree Martin","Exact - Common Name"
"Hirundo neoxena","Welcome Swallow","Hirundo (Hirundo) neoxena","Welcome Swallow","Exact - Common Name"
"Pycnonotus jocosus","Red-whiskered Bulbul","Pycnonotus (Pycnonotus) jocosus","Red-whiskered Bulbul","Exact - Common Name"
"Sturnus vulgaris","Common Starling","Sturnus (Sturnus) vulgaris","Common Starling","Exact - Common Name"
"Zoothera lunulata","Bassian Thrush","Zoothera (Zoothera) lunulata","Bassian Thrush","Exact - Common Name"
"Pachycephala olivacea","Olive Whistler","Pachycephala (Timixos) olivacea","Olive Whistler","Exact - Common Name"
"Tadorna tadornoides","Australian Shelduck","Tadorna (Casarca) tadornoides","Australian Shelduck","Exact - Common Name"
"Charadrius ruficapillus","Red-capped Plover","Charadrius (Charadrius) ruficapillus","Red-capped Plover","Exact - Common Name"
"Charadrius bicinctus","Double-banded Plover","Charadrius (Charadrius) bicinctus","Double-banded Plover","Exact - Common Name"
"Calidris canutus","Red Knot","Calidris (Calidris) canutus","Red Knot","Exact - Common Name"
"Calidris ruficollis","Red-necked Stint","Calidris (Ereunetes) ruficollis","Red-necked Stint","Exact - Common Name"
"Calidris alba","Sanderling","Calidris (Crocethia) alba","Sanderling","Exact - Common Name"
"Tringa brevipes","Grey-tailed Tattler","Tringa (Heteroscelus) brevipes","Grey-tailed Tattler","Exact - Common Name"
"Pterodroma lessonii","White-headed Petrel","Pterodroma (Pterodroma) lessonii","White-headed Petrel","Exact - Common Name"
"Puffinus assimilis","Little Shearwater","Puffinus (Puffinus) assimilis","Little Shearwater","Exact - Common Name"
"Dasyornis brachypterus","Eastern Bristlebird","Dasyornis (Dasyornis) brachypterus","Eastern Bristlebird","Exact - Common Name"
"Nettapus coromandelianus","Cotton Pygmy-goose","Nettapus (Cheniscus) coromandelianus","Cotton Pygmy-goose","Exact - Common Name"
"Nettapus coromandelianus","Cotton Pygmy-goose","Nettapus (Cheniscus) coromandelianus albipennis","Cotton Pygmy-goose","Exact - Common Name"
"Porzana fluminea","Australian Spotted Crake","Porzana (Porzana) fluminea","Australian Spotted Crake","Exact - Common Name"
"Charadrius mongolus","Lesser Sand Plover","Charadrius (Charadrius) mongolus","Lesser Sand Plover","Exact - Common Name"
"Charadrius leschenaultii","Greater Sand Plover","Charadrius (Charadrius) leschenaultii","Greater Sand Plover","Exact - Common Name"
"Charadrius veredus","Oriental Plover","Charadrius (Eupoda) veredus","Oriental Plover","Exact - Common Name"
"Vanellus tricolor","Banded Lapwing","Vanellus (Lobivanellus) tricolor","Banded Lapwing","Exact - Common Name"
"Numenius phaeopus","Whimbrel","Numenius (Phaeopus) phaeopus","Whimbrel","Exact - Common Name"
"Numenius minutus","Little Curlew","Numenius (Mesoscolopax) minutus","Little Curlew","Exact - Common Name"
"Calidris acuminata","Sharp-tailed Sandpiper","Calidris (Erolia) acuminata","Sharp-tailed Sandpiper","Exact - Common Name"
"Calidris ferruginea","Curlew Sandpiper","Calidris (Erolia) ferruginea","Curlew Sandpiper","Exact - Common Name"
"Calidris subminuta","Long-toed Stint","Calidris (Ereunetes) subminuta","Long-toed Stint","Exact - Common Name"
"Calidris melanotos","Pectoral Sandpiper","Calidris (Erolia) melanotos","Pectoral Sandpiper","Exact - Common Name"
"Tringa nebularia","Common Greenshank","Tringa (Glottis) nebularia","Common Greenshank","Exact - Common Name"
"Tringa glareola","Wood Sandpiper","Tringa (Rhyacophilus) glareola","Wood Sandpiper","Exact - Common Name"
"Tringa stagnatilis","Marsh Sandpiper","Tringa (Rhyacophilus) stagnatilis","Marsh Sandpiper","Exact - Common Name"
"Turnix maculosus","Red-backed Button-quail","Turnix (Ortygodes) maculosus","Red-backed Button-quail","Exact - Common Name"
"Glareola maldivarum","Oriental Pratincole","Glareola (Glareola) maldivarum","Oriental Pratincole","Exact - Common Name"
"Chlidonias leucopterus","White-winged Black Tern","Chlidonias (Chlidonias) leucopterus","White-winged Black Tern","Exact - Common Name"
"Todiramphus pyrrhopygius","Red-backed Kingfisher","Todiramphus (Cyanalcyon) pyrrhopygius","Red-backed Kingfisher","Exact - Common Name"
"Cacatua leadbeateri","Major Mitchell's Cockatoo","Lophochroa leadbeateri","Major Mitchell's Cockatoo","Exact - Common Name"
"Epthianura albifrons","White-fronted Chat","Epthianura (Epthianura) albifrons","White-fronted Chat","Exact - Common Name"
"Petroica rodinogaster","Pink Robin","Petroica (Erythrodryas) rodinogaster","Pink Robin","Exact - Common Name"
"Passer montanus","Eurasian Tree Sparrow","Passer (Passer) montanus","Eurasian Tree Sparrow","Exact - Common Name"
"Motacilla tschutschensis","Eastern Yellow Wagtail","Motacilla (Budytes) tschutschensis","Eastern Yellow Wagtail","Exact - Common Name"
"Motacilla tschutschensis","Eastern Yellow Wagtail","Motacilla (Budytes) tschutschensis tschutschensis","Eastern Yellow Wagtail","Exact - Common Name"
"Hirundo rustica","Barn Swallow","Hirundo (Hirundo) rustica","Barn Swallow","Exact - Common Name"
"Macropygia phasianella","Brown Cuckoo-Dove","Macropygia (Macropygia) phasianella","Brown Cuckoo-dove","Approximate - Common Name"
"Phalacrocorax varius","Great Pied Cormorant","Phalacrocorax (Phalacrocorax) carbo","Great Cormorant","Approximate - Common Name"
"Haliaeetus leucogaster","White-bellied Sea-Eagle","Haliaeetus (Pontoaetus) leucogaster","White-bellied Sea-eagle","Approximate - Common Name"
"Calyptorhynchus banksii","Red-tailed Black-Cockatoo","Calyptorhynchus (Calyptorhynchus) banksii","Red-tailed Black Cockatoo","Approximate - Common Name"
"Calyptorhynchus lathami","Glossy Black-Cockatoo","Calyptorhynchus (Calyptorhynchus) lathami","Glossy Black-cockatoo","Approximate - Common Name"
"Lonchura punctulata","Nutmeg Mannikin","Lonchura (Lonchura) punctulata","Nutmeg Munia","Approximate - Common Name"
"Lonchura castaneothorax","Chestnut-breasted Mannikin","Lonchura (Munia) castaneothorax","Chestnut-breasted Munia","Approximate - Common Name"
"Anthus novaeseelandiae","Australasian Pipit","Anthus (Anthus) novaeseelandiae","Australian Pipit","Approximate - Common Name"
"Acrocephalus australis","Australian Reed-Warbler","Acrocephalus (Acrocephalus) australis","Australian Reed Warbler","Approximate - Common Name"
NA,"Wandering Albatross spp","Diomedea exulans","Wandering Albatross","Approximate - Common Name"
NA,"Black-browed Albatross spp","Thalassarche melanophris","Black-browed Albatross","Approximate - Common Name"
NA,"Great-winged Petrel spp","Pterodroma (Pterodroma) macroptera","Great-winged Petrel","Approximate - Common Name"
NA,"Skua spp","Anas superciliosa X Anas platyrhynchos","Swans","Approximate - Common Name"
NA,"Duck spp","ANATIDAE","Ducks","Approximate - Common Name"
"Numenius madagascariensis","Far Eastern Curlew","Numenius (Numenius) madagascariensis","Eastern Curlew","Approximate - Common Name"
NA,"Domestic Duck","Gallus","Domestic Fowl","Approximate - Common Name"
"Anas platyrhynchos","Mallard","Eolophus roseicapilla","Galah","Approximate - Common Name"
"Vanellus cinereus","Grey-headed Lapwing","Heteromyias cinereifrons","Grey-headed Robin","Approximate - Common Name"
"Calidris bairdii","Baird's Sandpiper","Tringa (Rhyacophilus) stagnatilis","Marsh Sandpiper","Approximate - Common Name"
NA,"Domestic Goose","Gallus","Domestic Fowl","Approximate - Common Name"
"Ardea plumifera","Plumed Egret",NA,NA,"Unmatched"
NA,"Black Duck-Mallard hybrid",NA,NA,"Unmatched"
NA,"Corella spp",NA,NA,"Unmatched"
NA,"Crow & Raven spp",NA,NA,"Unmatched"
NA,"Fairy-wren spp",NA,NA,"Unmatched"
NA,"Fluttering/Hutton's Shearwater spp",NA,NA,"Unmatched"
NA,"Giant-Petrel spp",NA,NA,"Unmatched"
NA,"Brown Goshawk/Collared Sparrowhawk spp",NA,NA,"Unmatched"
NA,"Fairy/Tree Martin spp",NA,NA,"Unmatched"
NA,"Shy/White-capped Albatross spp",NA,NA,"Unmatched"
NA,"Short-tailed/Sooty Shearwater spp",NA,NA,"Unmatched"
NA,"Jaeger spp",NA,NA,"Unmatched"
"Tadorna variegata","Paradise Shelduck",NA,NA,"Unmatched"
"Calidris fuscicollis","White-rumped Sandpiper",NA,NA,"Unmatched"
"Anser anser","Domestic (Greylag) Goose",NA,NA,"Unmatched"
NA,"Teal spp",NA,NA,"Unmatched"
