"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","China-Australia Migratory Bird Agreement (CAMBA)","Bonn Convention Migratory Taxa","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Ninox (Rhabdoglaux) strenua|https://biodiversity.org.au/afd/taxa/d1c5dee0-0de6-487c-bf10-9fc5188ab671|Powerful Owl|Animalia|Strigidae","Ninox (Rhabdoglaux) strenua","(Gould, 1838)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Ninox","Powerful Owl","80","","Endangered","","","Vulnerable","","","","Vulnerable","","","Vulnerable","","",""
"Pardalotus (Pardalotinus) striatus|https://biodiversity.org.au/afd/taxa/e3103245-2da1-4cc5-952d-49153f466bbf|Striated Pardalote|Animalia|Pardalotidae","Pardalotus (Pardalotinus) striatus","(Gmelin, 1789)","species","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Striated Pardalote","80","","","","","","","","","","","","","","",""
"Pycnonotus (Pycnonotus) jocosus|https://biodiversity.org.au/afd/taxa/e15e755c-cd56-4f5f-a8ff-3b98b3b5625d|Red-whiskered Bulbul|Animalia|Pycnonotidae","Pycnonotus (Pycnonotus) jocosus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Red-whiskered Bulbul","79","","","","","","","","","","","","","","",""
"Lopholaimus antarcticus|https://biodiversity.org.au/afd/taxa/f14a931a-6be7-4085-85ee-4e72881627da|Topknot Pigeon|Animalia|Columbidae","Lopholaimus antarcticus","(Shaw, 1793)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Lopholaimus","Topknot Pigeon","78","","","","","","","","","","","","","","",""
"Acridotheres tristis tristis|https://biodiversity.org.au/afd/taxa/98d9a608-5806-4fe7-b77f-d23d5ebd1395|Indian Common Myna|Animalia|Sturnidae","Acridotheres tristis tristis","(Linnaeus, 1766)","subspecies","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Indian Common Myna","77","","","","","","","","","","","","","","",""
"Calyptorhynchus (Calyptorhynchus) lathami|https://biodiversity.org.au/afd/taxa/1f6b7596-dd2b-4ede-b5b2-313eeb66fe53|Glossy Black-cockatoo|Animalia|Cacatuidae","Calyptorhynchus (Calyptorhynchus) lathami","(Temminck, 1807)","species","Animalia","Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Glossy Black-cockatoo","77","","","","","Vulnerable","","Vulnerable","","Vulnerable","","","","","",""
"Anthochaera (Anellobia) lunulata|https://biodiversity.org.au/afd/taxa/59b7c7f5-1d07-4ab0-90ef-9be0885de1dd|Western Wattlebird|Animalia|Meliphagidae","Anthochaera (Anellobia) lunulata","Gould, 1838","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Western Wattlebird","74","","","","","","","","","","","","","","",""
"Porphyrio (Porphyrio) porphyrio melanotus|https://biodiversity.org.au/afd/taxa/853df087-8292-4276-8ff8-eca476d33b0b|Australasian Purple Swamphen|Animalia|Rallidae","Porphyrio (Porphyrio) porphyrio melanotus","Temminck, 1820","subspecies","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Australasian Purple Swamphen","74","","","","","","","","","","","","","","",""
"Eurystomus orientalis|https://biodiversity.org.au/afd/taxa/a5b01c33-de02-457a-b1d4-d8a303b29de4|Dollarbird|Animalia|Coraciidae","Eurystomus orientalis","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Coraciiformes","Coraciidae","Eurystomus","Dollarbird","71","","","","","","","","","","","","","","",""
"Platycercus (Violania) eximius|https://biodiversity.org.au/afd/taxa/cb4f06b4-75cc-470e-a238-102e6f913658|Eastern Rosella|Animalia|Psittacidae","Platycercus (Violania) eximius","(Shaw, 1792)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Eastern Rosella","70","","","","","","","","","","","","","","",""
