"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","Bonn Convention Migratory Taxa","China-Australia Migratory Bird Agreement (CAMBA)","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"GRUIFORMES|https://biodiversity.org.au/afd/taxa/40098be4-56e3-40d4-9f87-96966e305c4d||Animalia|null","GRUIFORMES","","order","Animalia","Chordata","Aves","Gruiformes","","","","424","","","","","","","","","","","","","","",""
"Myzomela (Myzomela) sanguinolenta sanguinolenta|https://biodiversity.org.au/afd/taxa/59059a68-989e-4ee0-9f2e-56f9027dcf4d||Animalia|Meliphagidae","Myzomela (Myzomela) sanguinolenta sanguinolenta","(Latham, 1801)","subspecies","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Myzomela","","424","","","","","","","","","","","","","","",""
"Pitta (Pitta) versicolor versicolor|https://biodiversity.org.au/afd/taxa/3e062650-6ecb-43e7-a903-5487e3dbbbb5|Central East Coast Noisy Pitta|Animalia|Pittidae","Pitta (Pitta) versicolor versicolor","Swainson, 1825","subspecies","Animalia","Chordata","Aves","Passeriformes","Pittidae","Pitta","Central East Coast Noisy Pitta","424","","","","","","","","","","","","","","",""
"Amytornis (Amytornis) textilis myall|https://biodiversity.org.au/afd/taxa/3d6cb061-86d7-4d30-a5cf-69584279dd08|Eyre Peninsula Western Grasswren|Animalia|Maluridae","Amytornis (Amytornis) textilis myall","(Mathews, 1916)","subspecies","Animalia","Chordata","Aves","Passeriformes","Maluridae","Amytornis","Eyre Peninsula Western Grasswren","423","","","","","","","","","","","","","","",""
"Dasyornis (Maccoyornis) broadbenti broadbenti|https://biodiversity.org.au/afd/taxa/f1ba6ff8-82c6-4405-bcbd-a9753c0c5634|Coorong Rufous Bristlebird|Animalia|Dasyornithidae","Dasyornis (Maccoyornis) broadbenti broadbenti","(McCoy, 1867)","subspecies","Animalia","Chordata","Aves","Passeriformes","Dasyornithidae","Dasyornis","Coorong Rufous Bristlebird","423","","","","","","","","","","","","","","",""
"Podargus ocellatus plumiferus|https://biodiversity.org.au/afd/taxa/2f756258-d714-4f8c-802b-109b7c91247a|Plumed Frogmouth|Animalia|Podargidae","Podargus ocellatus plumiferus","Gould, 1846","subspecies","Animalia","Chordata","Aves","Caprimulgiformes","Podargidae","Podargus","Plumed Frogmouth","423","","","","","","","","","","","","Vulnerable","","",""
"Porphyrio (Porphyrio) porphyrio bellus|https://biodiversity.org.au/afd/taxa/f6e66971-4a08-4eab-a14c-496528a33e3e|Western Australian Purple Swamphen|Animalia|Rallidae","Porphyrio (Porphyrio) porphyrio bellus","Gould, 1840","subspecies","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Western Australian Purple Swamphen","423","","","","","","","","","","","","","","",""
"ESTRILDIDAE|https://biodiversity.org.au/afd/taxa/78352ed3-af80-44bc-828d-c357311ce0b5|Pale-headed Munia|Animalia|Estrildidae","ESTRILDIDAE","Bonaparte, 1850","family","Animalia","Chordata","Aves","Passeriformes","Estrildidae","","Pale-headed Munia","421","","","","","","","","","","","","","","",""
"Dacelo (Dacelo) leachii leachii|https://biodiversity.org.au/afd/taxa/023165db-467a-46b6-b1be-62307fafe77a|Northern Blue-winged Kookaburra|Animalia|Alcedinidae","Dacelo (Dacelo) leachii leachii","Vigors & Horsfield, 1827","subspecies","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Northern Blue-winged Kookaburra","419","","","","","","","","","","","","","","",""
"Zosterops lateralis pinarochrous|https://biodiversity.org.au/afd/taxa/11c05679-7b88-4f4c-b8fc-99c8ec629840|South Australian Silvereye|Animalia|Zosteropidae","Zosterops lateralis pinarochrous","Schodde & Mason, 1999","subspecies","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","South Australian Silvereye","417","","","","","","","","","","","","","","",""
"Eurystomus orientalis pacificus|https://biodiversity.org.au/afd/taxa/bd729c60-ba6d-4e27-89b4-04f41feb337c|Eastern Dollarbird|Animalia|Coraciidae","Eurystomus orientalis pacificus","(Latham, 1801)","subspecies","Animalia","Chordata","Aves","Coraciiformes","Coraciidae","Eurystomus","Eastern Dollarbird","416","","","","","","","","","","","","","","",""
