Common Name,Scientific Name,Count,Reporting Rate
Scarlet Honeyeater,Myzomela sanguinolenta,356,4.51%
Painted Honeyeater,Grantiella picta,9,0.11%
Striped Honeyeater,Plectorhyncha lanceolata,100,1.27%
Noisy Friarbird,Philemon corniculatus,1411,17.88%
Little Friarbird,Philemon citreogularis,21,0.27%
Brown Honeyeater,Lichmera indistincta,11,0.14%
Crescent Honeyeater,Phylidonyris pyrrhopterus,238,3.02%
New Holland Honeyeater,Phylidonyris novaehollandiae,3038,38.50%
White-cheeked Honeyeater,Phylidonyris niger,221,2.80%
White-eared Honeyeater,Nesoptilotis leucotis,1470,18.63%
Blue-faced Honeyeater,Entomyzon cyanotis,26,0.33%
Black-chinned Honeyeater,Melithreptus gularis,67,0.85%
Brown-headed Honeyeater,Melithreptus brevirostris,526,6.67%
White-naped Honeyeater,Melithreptus lunatus,1923,24.37%
Tawny-crowned Honeyeater,Gliciphila melanops,45,0.57%
Eastern Spinebill,Acanthorhynchus tenuirostris,4150,52.60%
Crimson Chat,Epthianura tricolor,1,0.01%
Lewin's Honeyeater,Meliphaga lewinii,1728,21.90%
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,18,0.23%
Little Wattlebird,Anthochaera chrysoptera,501,6.35%
Regent Honeyeater,Anthochaera phrygia,53,0.67%
Red Wattlebird,Anthochaera carunculata,2116,26.82%
Singing Honeyeater,Gavicalis virescens,2,0.03%
Fuscous Honeyeater,Ptilotula fusca,118,1.50%
White-plumed Honeyeater,Ptilotula penicillata,286,3.62%
Yellow-faced Honeyeater,Caligavis chrysops,3939,49.92%
Yellow-tufted Honeyeater,Lichenostomus melanops,1042,13.21%
Bell Miner,Manorina melanophrys,853,10.81%
Noisy Miner,Manorina melanocephala,385,4.88%
Spotted Pardalote,Pardalotus punctatus,3000,38.02%
Striated Pardalote,Pardalotus striatus,404,5.12%
Brown Gerygone,Gerygone mouki,1180,14.96%
White-throated Gerygone,Gerygone olivacea,362,4.59%
Western Gerygone,Gerygone fusca,26,0.33%
Weebill,Smicrornis brevirostris,255,3.23%
Pilotbird,Pycnoptilus floccosus,891,11.29%
Speckled Warbler,Pyrrholaemus sagittatus,172,2.18%
Chestnut-rumped Heathwren,Calamanthus pyrrhopygius,240,3.04%
Rockwarbler,Origma solitaria,894,11.33%
Yellow-throated Scrubwren,Sericornis citreogularis,411,5.21%
White-browed Scrubwren,Sericornis frontalis,2755,34.92%
Large-billed Scrubwren,Sericornis magnirostra,356,4.51%
Southern Whiteface,Aphelocephala leucopsis,11,0.14%
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,177,2.24%
Yellow Thornbill,Acanthiza nana,273,3.46%
Striated Thornbill,Acanthiza lineata,2143,27.16%
Brown Thornbill,Acanthiza pusilla,3926,49.76%
Buff-rumped Thornbill,Acanthiza reguloides,225,2.85%
Grey-crowned Babbler,Pomatostomus temporalis,34,0.43%
White-browed Babbler,Pomatostomus superciliosus,55,0.70%
Varied Sittella,Daphoenositta chrysoptera,253,3.21%
Black-faced Cuckoo-shrike,Coracina novaehollandiae,842,10.67%
White-bellied Cuckoo-shrike,Coracina papuensis,96,1.22%
Common Cicadabird,Edolisoma tenuirostre,141,1.79%
White-winged Triller,Lalage tricolor,65,0.82%
Spotted Quail-thrush,Cinclosoma punctatum,291,3.69%
Gilbert's Whistler,Pachycephala inornata,1,0.01%
Rufous Whistler,Pachycephala rufiventris,1763,22.34%
Golden Whistler,Pachycephala pectoralis,2475,31.37%
Grey Shrike-thrush,Colluricincla harmonica,3130,39.67%
Crested Shrike-tit,Falcunculus frontatus,540,6.84%
Eastern Whipbird,Psophodes olivaceus,2425,30.74%
Australasian Figbird,Sphecotheres vieilloti,7,0.09%
Olive-backed Oriole,Oriolus sagittatus,565,7.16%
Pied Currawong,Strepera graculina,3276,41.52%
Grey Currawong,Strepera versicolor,173,2.19%
Australian Magpie,Gymnorhina tibicen,1579,20.01%
Pied Butcherbird,Cracticus nigrogularis,158,2.00%
Grey Butcherbird,Cracticus torquatus,842,10.67%
Masked Woodswallow,Artamus personatus,15,0.19%
White-browed Woodswallow,Artamus superciliosus,46,0.58%
Dusky Woodswallow,Artamus cyanopterus,323,4.09%
Black-faced Woodswallow,Artamus cinereus,1,0.01%
White-breasted Woodswallow,Artamus leucorynchus,1,0.01%
Spangled Drongo,Dicrurus bracteatus,2,0.03%
Willie Wagtail,Rhipidura leucophrys,626,7.93%
Rufous Fantail,Rhipidura rufifrons,560,7.10%
Grey Fantail,Rhipidura albiscapa,3204,40.61%
Little Raven,Corvus mellori,43,0.54%
Australian Raven,Corvus coronoides,1450,18.38%
Leaden Flycatcher,Myiagra rubecula,628,7.96%
Satin Flycatcher,Myiagra cyanoleuca,33,0.42%
Restless Flycatcher,Myiagra inquieta,212,2.69%
Magpie-lark,Grallina cyanoleuca,348,4.41%
Spectacled Monarch,Symposiachrus trivirgatus,1,0.01%
Black-faced Monarch,Monarcha melanopsis,520,6.59%
White-winged Chough,Corcorax melanorhamphos,303,3.84%
Rose Robin,Petroica rosea,455,5.77%
Flame Robin,Petroica phoenicea,73,0.93%
Scarlet Robin,Petroica boodang,233,2.95%
Red-capped Robin,Petroica goodenovii,30,0.38%
Jacky Winter,Microeca fascinans,406,5.15%
Eastern Yellow Robin,Eopsaltria australis,3433,43.51%
Pale-yellow Robin,Tregellasia capito,1,0.01%
Hooded Robin,Melanodryas cucullata,53,0.67%
Mistletoebird,Dicaeum hirundinaceum,314,3.98%
Nutmeg Mannikin,Lonchura punctulata,2,0.03%
Chestnut-breasted Mannikin,Lonchura castaneothorax,1,0.01%
Beautiful Firetail,Stagonopleura bella,389,4.93%
Diamond Firetail,Stagonopleura guttata,81,1.03%
Red-browed Finch,Neochmia temporalis,1378,17.47%
Plum-headed Finch,Neochmia modesta,7,0.09%
Zebra Finch,Taeniopygia castanotis,52,0.66%
Double-barred Finch,Taeniopygia bichenovii,170,2.15%
House Sparrow,Passer domesticus,69,0.87%
Australasian Pipit,Anthus novaeseelandiae,84,1.06%
Common Greenfinch,Chloris chloris,1,0.01%
European Goldfinch,Carduelis carduelis,3,0.04%
Horsfield's Bushlark,Mirafra javanica,9,0.11%
Eurasian Skylark,Alauda arvensis,1,0.01%
Golden-headed Cisticola,Cisticola exilis,9,0.11%
Brown Songlark,Cincloramphus cruralis,5,0.06%
Rufous Songlark,Cincloramphus mathewsi,68,0.86%
Little Grassbird,Poodytes gramineus,4,0.05%
Australian Reed-Warbler,Acrocephalus australis,54,0.68%
White-backed Swallow,Cheramoeca leucosterna,7,0.09%
Fairy Martin,Petrochelidon ariel,55,0.70%
Tree Martin,Petrochelidon nigricans,408,5.17%
Welcome Swallow,Hirundo neoxena,998,12.65%
Red-whiskered Bulbul,Pycnonotus jocosus,66,0.84%
Silvereye,Zosterops lateralis,1078,13.66%
Common Starling,Sturnus vulgaris,82,1.04%
Common Myna,Acridotheres tristis,125,1.58%
Bassian Thrush,Zoothera lunulata,156,1.98%
Common Blackbird,Turdus merula,51,0.65%
Black Duck-Mallard hybrid,,2,0.03%
Corella spp,,1,0.01%
Crow & Raven spp,,16,0.20%
Wandering Albatross spp,,8,0.10%
Black-browed Albatross spp,,10,0.13%
Great-winged Petrel spp,,2,0.03%
Fairy-wren spp,,9,0.11%
Fluttering/Hutton's Shearwater spp,,2,0.03%
Giant-Petrel spp,,1,0.01%
Brown Goshawk/Collared Sparrowhawk spp,,1,0.01%
Fairy/Tree Martin spp,,6,0.08%
Skua spp,,1,0.01%
Duck spp,,2,0.03%
